alvdefl;1146665607;NULL;1;0;U ;USER_TABLE;2006-11-13 12:11:40.890;2012-05-01 03:15:34.850;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
alvl;454471122;NULL;1;0;U ;USER_TABLE;2006-11-13 11:24:49.757;2012-05-01 03:15:41.803;0;0;0;0;NULL;21;0;0;0;0;0;0;0;0;0;0;0;TABLE
alvldefc;1882668229;NULL;1;0;U ;USER_TABLE;2006-11-13 12:11:41.970;2012-05-01 03:15:50.227;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
alvldefl;471187203;NULL;1;0;U ;USER_TABLE;2006-11-13 12:11:43.720;2012-05-01 03:15:56.307;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
am;491706512;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:35.787;2012-05-01 03:16:01.850;0;0;0;0;NULL;19;0;0;0;0;0;0;0;0;0;0;0;TABLE
amdefc;763707481;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:38.300;2012-05-01 03:16:08.680;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
amdefl;1499710103;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:43.263;2012-05-01 03:16:14.960;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
amenu;104229134;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:50.990;2012-05-01 03:16:18.680;0;0;0;0;NULL;11;0;0;0;0;0;0;0;0;0;0;0;TABLE
anamultc;353770942;NULL;1;0;U ;USER_TABLE;2007-03-09 17:59:12.670;2012-05-01 03:16:21.837;0;0;0;0;NULL;10;0;0;0;0;0;0;0;0;0;0;0;TABLE
anamultl;545771626;NULL;1;0;U ;USER_TABLE;2007-03-09 17:59:13.137;2012-05-01 03:16:25.650;0;0;0;1;NULL;16;0;0;0;0;0;0;0;0;0;0;0;TABLE
ap;790851592;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:42.690;2012-05-01 03:17:59.413;0;0;0;0;NULL;14;0;0;0;0;0;0;0;0;0;0;0;TABLE
apiduc;1062852561;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:44.000;2012-05-01 03:18:10.073;0;0;0;1;NULL;99;0;0;0;0;0;0;0;0;0;0;0;TABLE
apidul;403374214;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:51.570;2012-05-01 03:18:18.903;0;0;0;1;NULL;81;0;0;0;0;0;0;0;0;0;0;0;TABLE
apidutxt;1747379002;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:55.660;2012-05-01 03:18:22.683;0;0;0;1;NULL;15;0;0;0;0;0;0;0;0;0;0;0;TABLE
aprov;2035380028;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:56.363;2012-05-01 03:18:30.193;0;0;0;0;NULL;16;0;0;0;0;0;0;0;0;0;0;0;TABLE
aprovdefc;159897349;NULL;1;0;U ;USER_TABLE;2005-10-25 16:35:56.783;2012-05-01 03:18:36.697;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
aprovdefl;895899971;NULL;1;0;U ;USER_TABLE;2005-10-25 16:36:04.573;2012-05-01 03:18:42.730;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
